               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043262,            0.010152,            0.013697,             0.88954,             0.93657,             0.97859,             0.55783,            0.038642,           0.0059656,           0.0083646,            0.009307,            0.009307,            0.009307
                  37,            0.046808,           0.0094521,            0.013794,             0.90817,             0.97462,             0.97871,             0.65533,            0.033511,           0.0059274,           0.0082879,           0.0092872,           0.0092872,           0.0092872
                  38,            0.041735,            0.010234,            0.012685,             0.92628,             0.97994,             0.98288,             0.57563,            0.037185,            0.005908,           0.0079626,           0.0092674,           0.0092674,           0.0092674
                  39,            0.045237,            0.009276,            0.011523,             0.87575,             0.96684,             0.97811,             0.64796,            0.032818,           0.0057717,           0.0076055,           0.0092476,           0.0092476,           0.0092476
                  40,            0.043134,            0.010375,            0.011368,             0.92801,             0.99493,             0.98615,             0.63404,             0.03374,           0.0058041,           0.0071163,           0.0092278,           0.0092278,           0.0092278
                  41,            0.040332,           0.0093775,            0.012461,             0.86409,             0.98661,             0.96728,             0.63417,            0.031238,           0.0058629,           0.0068247,            0.009208,            0.009208,            0.009208
                  42,             0.03842,           0.0098632,            0.011092,             0.83698,             0.95382,             0.93919,             0.60455,            0.033979,            0.005848,           0.0064447,           0.0091882,           0.0091882,           0.0091882
                  43,            0.041503,            0.009386,            0.010024,             0.89204,             0.99138,             0.98617,             0.61415,             0.03659,           0.0058166,           0.0061864,           0.0091684,           0.0091684,           0.0091684
                  44,            0.039979,            0.010893,             0.01075,             0.90765,             0.99547,             0.98797,             0.63223,            0.031416,           0.0057272,           0.0060017,           0.0091486,           0.0091486,           0.0091486
                  45,            0.036189,           0.0094587,            0.010919,             0.84723,             0.91637,             0.94678,             0.56337,            0.035659,           0.0056346,           0.0056689,           0.0091288,           0.0091288,           0.0091288
                  46,            0.042077,           0.0095923,           0.0098302,             0.94611,             0.99636,             0.98953,             0.68125,            0.031575,            0.005521,           0.0053822,            0.009109,            0.009109,            0.009109
                  47,            0.039428,           0.0087436,            0.011587,             0.88218,             0.95552,             0.98622,             0.62814,            0.036287,           0.0056501,           0.0051206,           0.0090892,           0.0090892,           0.0090892
                  48,            0.038969,            0.009011,           0.0075819,             0.85894,             0.94659,             0.98899,             0.63714,             0.03241,           0.0054423,           0.0052402,           0.0090694,           0.0090694,           0.0090694
                  49,            0.038318,           0.0082799,            0.008648,             0.81223,             0.95586,             0.97217,             0.60225,            0.033994,            0.005428,           0.0053351,           0.0090496,           0.0090496,           0.0090496
                  50,              0.0385,           0.0088774,           0.0084132,             0.95878,             0.99881,             0.98928,             0.66112,             0.03151,           0.0054211,           0.0053406,           0.0090298,           0.0090298,           0.0090298
                  51,            0.038539,           0.0093211,           0.0081995,             0.97323,             0.99925,              0.9912,             0.69885,            0.030651,           0.0054105,           0.0051467,             0.00901,             0.00901,             0.00901
                  52,            0.038797,           0.0085856,           0.0090494,             0.95921,             0.98113,             0.99441,             0.63783,            0.030346,            0.005371,           0.0048295,           0.0089902,           0.0089902,           0.0089902
                  53,            0.036118,           0.0085522,           0.0077976,             0.98497,             0.99924,               0.995,              0.6827,            0.030173,           0.0052888,           0.0046555,           0.0089704,           0.0089704,           0.0089704
                  54,             0.03735,           0.0093269,           0.0078577,             0.97296,             0.99652,             0.99454,             0.62548,             0.03215,           0.0052632,           0.0044742,           0.0089506,           0.0089506,           0.0089506
                  55,            0.035123,           0.0079794,           0.0067558,             0.96996,             0.99469,              0.9946,             0.66283,            0.031316,           0.0051424,           0.0042726,           0.0089308,           0.0089308,           0.0089308
                  56,            0.037169,           0.0093877,           0.0071225,             0.93947,             0.98361,             0.99441,             0.69461,            0.028564,           0.0051383,            0.004091,            0.008911,            0.008911,            0.008911
                  57,            0.036547,           0.0082969,           0.0072283,             0.90047,             0.97794,             0.95028,             0.61695,            0.030055,           0.0052054,           0.0039624,           0.0088912,           0.0088912,           0.0088912
                  58,            0.034874,           0.0095384,           0.0079207,             0.91492,             0.98511,             0.98502,              0.6207,             0.02993,           0.0052192,           0.0038327,           0.0088714,           0.0088714,           0.0088714
                  59,            0.033789,           0.0086225,           0.0060873,             0.95493,              0.9902,             0.99255,             0.67111,            0.027434,           0.0051531,           0.0037686,           0.0088516,           0.0088516,           0.0088516
                  60,            0.034287,           0.0082689,           0.0060932,              0.9721,             0.99045,             0.99374,             0.69278,            0.026291,           0.0051052,           0.0037336,           0.0088318,           0.0088318,           0.0088318
                  61,            0.035224,           0.0088639,           0.0067675,             0.96158,             0.99464,             0.99414,             0.74215,            0.027623,            0.004956,           0.0036788,            0.008812,            0.008812,            0.008812
